MatchNo,PlayerA,PlayerB,Result,MMR_A,MMR_B
12182,Player40,Player5,TEAM_A_WIN,1220,1300
12183,Player95,Player141,TEAM_A_WIN,1335,1335
12184,Player141,Player95,TEAM_A_WIN,1355,1320
12185,Player182,Player40,TEAM_B_WIN,1275,1240
12186,Player182,Player40,TEAM_A_WIN,1295,1225
12187,Player52,Player5,TEAM_A_WIN,1295,1285
12188,Player95,Player5,TEAM_B_WIN,1305,1305
12189,Player195,Player95,TEAM_A_WIN,1400,1290
12190,Player195,Player5,TEAM_A_WIN,1420,1290
12191,Player146,Player93,TEAM_B_WIN,1395,1365
12192,Player93,Player118,TEAM_B_WIN,1350,1365
12193,Player146,Player118,TEAM_A_WIN,1415,1350
12194,Player68,Player118,TEAM_B_WIN,1300,1370
12195,Player197,Player11,TEAM_B_WIN,1405,1370
12196,Player146,Player11,TEAM_A_WIN,1435,1355
12197,Player146,Player11,TEAM_A_WIN,1455,1340
12198,Player93,Player70,TEAM_A_WIN,1370,1340
12199,Player158,Player123,TEAM_B_WIN,1335,1375
12200,Player63,Player158,TEAM_B_WIN,1295,1355
12201,Player68,Player63,TEAM_A_WIN,1320,1280
12202,Player158,Player123,TEAM_B_WIN,1340,1395
12203,Player123,Player118,TEAM_A_WIN,1415,1355
12204,Player125,Player197,TEAM_B_WIN,1365,1425
12205,Player68,Player93,TEAM_A_WIN,1340,1355
12206,Player68,Player123,TEAM_B_WIN,1325,1435
12207,Player158,Player125,TEAM_A_WIN,1360,1350
12208,Player70,Player125,TEAM_B_WIN,1325,1370
12209,Player11,Player197,TEAM_B_WIN,1325,1445
12210,Player63,Player197,TEAM_A_WIN,1300,1430
12211,Player70,Player63,TEAM_A_WIN,1345,1285
12212,Player70,Player125,TEAM_B_WIN,1330,1390
12213,Player58,Player184,TEAM_B_WIN,1370,1410
12214,Player112,Player152,TEAM_A_WIN,1355,1365
12215,Player22,Player32,TEAM_A_WIN,1495,1370
12216,Player179,Player184,TEAM_B_WIN,1435,1430
12217,Player153,Player179,TEAM_A_WIN,1445,1420
12218,Player164,Player32,TEAM_A_WIN,1335,1355
12219,Player164,Player131,TEAM_A_WIN,1355,1365
12220,Player179,Player22,TEAM_A_WIN,1440,1480
12221,Player131,Player153,TEAM_B_WIN,1350,1465
12222,Player32,Player179,TEAM_B_WIN,1340,1460
12223,Player184,Player164,TEAM_A_WIN,1450,1340
12224,Player32,Player164,TEAM_A_WIN,1360,1325
12225,Player22,Player58,TEAM_A_WIN,1500,1355
12226,Player22,Player131,TEAM_B_WIN,1485,1370
12227,Player152,Player184,TEAM_B_WIN,1350,1470
12228,Player153,Player58,TEAM_A_WIN,1485,1340
12229,Player153,Player112,TEAM_B_WIN,1470,1375
12230,Player112,Player131,TEAM_A_WIN,1395,1355
12231,Player58,Player112,TEAM_A_WIN,1360,1380
12232,Player102,Player196,TEAM_A_WIN,1445,1470
12233,Player102,Player46,TEAM_A_WIN,1465,1365
12234,Player50,Player46,TEAM_B_WIN,1505,1385
12235,Player196,Player50,TEAM_B_WIN,1455,1525
12236,Player28,Player196,TEAM_B_WIN,1475,1475
12237,Player46,Player69,TEAM_A_WIN,1405,1610
12238,Player173,Player183,TEAM_A_WIN,1405,1615
12239,Player69,Player102,TEAM_B_WIN,1595,1485
12240,Player8,Player69,TEAM_B_WIN,1375,1615
12241,Player30,Player8,TEAM_A_WIN,1445,1360
12242,Player196,Player165,TEAM_A_WIN,1495,1445
12243,Player173,Player102,TEAM_B_WIN,1390,1505
12244,Player183,Player46,TEAM_A_WIN,1635,1390
12245,Player173,Player165,TEAM_A_WIN,1410,1430
12246,Player183,Player30,TEAM_A_WIN,1655,1430
12247,Player69,Player50,TEAM_B_WIN,1600,1545
12248,Player165,Player28,TEAM_A_WIN,1450,1460
12249,Player183,Player165,TEAM_B_WIN,1640,1470
12250,Player28,Player50,TEAM_A_WIN,1480,1530
12251,Player8,Player30,TEAM_A_WIN,1380,1415
12252,Player28,Player100,TEAM_B_WIN,1465,1575
12253,Player100,Player173,TEAM_B_WIN,1560,1430
12254,Player30,Player8,TEAM_B_WIN,1400,1400
12255,Player27,Player33,TEAM_B_WIN,1580,1655
12256,Player89,Player26,TEAM_A_WIN,1685,1515
12257,Player116,Player26,TEAM_A_WIN,1655,1500
12258,Player116,Player33,TEAM_B_WIN,1640,1675
12259,Player190,Player116,TEAM_B_WIN,1540,1660
12260,Player116,Player190,TEAM_B_WIN,1645,1560
12261,Player104,Player190,TEAM_B_WIN,1585,1580
12262,Player33,Player26,TEAM_A_WIN,1695,1485
12263,Player104,Player2,TEAM_A_WIN,1605,1545
12264,Player33,Player2,TEAM_A_WIN,1715,1530
12265,Player27,Player26,TEAM_B_WIN,1565,1505
12266,Player2,Player190,TEAM_A_WIN,1550,1565
12267,Player2,Player104,TEAM_A_WIN,1570,1590
12268,Player89,Player27,TEAM_B_WIN,1670,1585
12269,Player104,Player89,TEAM_B_WIN,1575,1690
12270,Player27,Player89,TEAM_B_WIN,1570,1710
12271,Player60,Player36,TEAM_B_WIN,775,960
12272,Player194,Player166,TEAM_B_WIN,815,960
12273,Player126,Player166,TEAM_B_WIN,890,980
12274,Player166,Player174,TEAM_A_WIN,1000,790
12275,Player159,Player16,TEAM_B_WIN,880,810
12276,Player159,Player194,TEAM_A_WIN,900,800
12277,Player84,Player174,TEAM_A_WIN,850,775
12278,Player12,Player17,TEAM_B_WIN,710,790
12279,Player16,Player17,TEAM_B_WIN,795,810
12280,Player126,Player36,TEAM_B_WIN,875,980
12281,Player36,Player166,TEAM_A_WIN,1000,985
12282,Player174,Player60,TEAM_B_WIN,760,795
12283,Player84,Player17,TEAM_B_WIN,835,830
12284,Player159,Player114,TEAM_B_WIN,885,440
12285,Player36,Player16,TEAM_A_WIN,1020,780
12286,Player17,Player114,TEAM_B_WIN,815,460
12287,Player12,Player159,TEAM_A_WIN,730,870
12288,Player84,Player12,TEAM_A_WIN,855,715
12289,Player60,Player114,TEAM_A_WIN,815,445
12290,Player84,Player60,TEAM_A_WIN,875,800
12291,Player194,Player12,TEAM_A_WIN,820,700
12292,Player174,Player194,TEAM_B_WIN,745,840
12293,Player126,Player16,TEAM_A_WIN,895,765
12294,Player126,Player114,TEAM_A_WIN,915,430
12295,Player21,Player87,TEAM_A_WIN,955,930
12296,Player80,Player42,TEAM_A_WIN,890,895
12297,Player51,Player87,TEAM_A_WIN,890,915
12298,Player20,Player42,TEAM_A_WIN,705,880
